name,department,reason
"Amazon Brand - Symbol Men's Regular Fit Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Formal Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Slim Fit Button Down Shirt","fashion","Duplicate product title fingerprint"
"Peter England Men Shirt","fashion","Duplicate product title fingerprint"
"GRITSTONES Men's Regular FiT-Shirt","fashion","Duplicate product title fingerprint"
"HammerSmith Men Shirt","fashion","Duplicate product title fingerprint"
"Lyriq Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Long Full Sleeves Regular Fit Cotton Linen Formal Plain Shirts(GCR52)","fashion","Duplicate product title fingerprint"
"Raymond Men Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Full/Long Sleeves Formal Regular Fit Cotton Linen Plain Shirt (GCRFS24)","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Formal Shirt","fashion","Duplicate product title fingerprint"
"Arrow Men Shirt","fashion","Duplicate product title fingerprint"
"Raymond Men Shirt","fashion","Duplicate product title fingerprint"
"Arrow Men Mint Sleeve Solid Formal Shirt","fashion","Duplicate ASIN"
"Van Heusen Men Formal Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Long Full Sleeves Regular Fit Cotton Linen Formal Plain Shirts(GCR51)","fashion","Duplicate product title fingerprint"
"Diverse Men's Regular Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Half Sleeves Formal Regular Fit Cotton Linen Shirt(Ocean Blue,GO524)","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Casual Shirt","fashion","Duplicate product title fingerprint"
"Dennis Lingo Men Shirt","fashion","Duplicate product title fingerprint"
"IndoPrimo Men's Regular Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Raymond Men Shirt","fashion","Duplicate product title fingerprint"
"Raymond Men Shirt","fashion","Duplicate product title fingerprint"
"STYLE MINISTRY Styleministry 100% Giza Cotton Formal Shirts for Men Stylish Latest Full Sleeve Slim Fit Mens Shirt Cotton ...","fashion","Missing both actual and discount prices"
"Diverse Men's Regular Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"Peter England Men Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Full/Long Sleeves Formal Regular Fit Cotton Linen Plain Shirt (GCRFS22)","fashion","Duplicate product title fingerprint"
"GRITSTONES Men's Regular Fit Casual Shirt","fashion","Duplicate ASIN"
"Peter England Men Shirt","fashion","Duplicate product title fingerprint"
"GHPC 100% Cotton Big/Buffalo Checks Full Sleeves Regular Fit Formal Shirt for Men","fashion","Duplicate ASIN"
"Dennis Lingo Men's Cotton Slim Fit Casual Shirt","fashion","Duplicate ASIN"
"Diverse Men Formal Shirt","fashion","Duplicate product title fingerprint"
