name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Sun Fashion And Lifestyle Women's Cotton Print Unstitched Salwar Suit Material, 2 Mtr Printed Cotton Salwar, Stylish Chiff...",women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81rJY++w1XL._AC_UL320_.jpg,https://www.amazon.in/Sun-Fashion-Lifestyle-Unstitched-Material/dp/B09QYVZL3P/ref=sr_1_25?qid=1679154137&s=apparel&sr=1-25,3.4,667,₹499,"₹2,599"
GoSriKi Women's Cotton Blend Printed Kurta and Pant with Dupatta Set (KALEPING-Pista-Nw-GS),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61rbZSNUjyL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Printed-Dupatta-KALEPING-PISTA-Nw-GS_XXL_Pista_XX-Large/dp/B0BPY33MQS/ref=sr_1_26?qid=1679154137&s=apparel&sr=1-26,4.1,78,₹618,"₹2,599"
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant & Dupatta (Rapat),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71hEBPvmGOL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Rapat-Wine_L_Wine_Large/dp/B0BDLN4HJZ/ref=sr_1_27?qid=1679154137&s=apparel&sr=1-27,3.4,242,₹478,"₹2,599"
Jalther Handicrafts Women's Ikat Hand Block Print Jaipuri Cotton Mulmul Saree with Blouse Piece,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81f0ZQp1TaL._AC_UL320_.jpg,https://www.amazon.in/Handicrafts-Womens-Jaipuri-Cotton-Mulmul/dp/B08YKBB2DB/ref=sr_1_28?qid=1679154137&s=apparel&sr=1-28,4.0,601,₹789,"₹6,999"
GoSriKi Women's Woven Georgette Saree (BND-Multi GO_Multicolour),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/51ht5m2xeiL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Georgette-BND-Multi-GO_Multicolour/dp/B0B63RNRNT/ref=sr_1_29?qid=1679154137&s=apparel&sr=1-29,3.2,364,₹299,"₹2,599"
Ishin Poly Georgette Black Printed Women's Saree/Sari With Lace,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/716vFfyRe3L._AC_UL320_.jpg,https://www.amazon.in/Ishin-Georgette-Blouse-Piece-Ishinsidm-48028_Black_Free/dp/B07GCSF8NK/ref=sr_1_30?qid=1679154137&s=apparel&sr=1-30,3.5,123,,
Bee M Pee Designer Womens sarees for women,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/91kd-LxBQ3L._AC_UL320_.jpg,https://www.amazon.in/Bee-Designer-Fancy-Party-Stylish/dp/B0BS9CYR4P/ref=sr_1_31?qid=1679154137&s=apparel&sr=1-31,5.0,5,₹328,"₹2,499"
GoSriKi Women's Rayon Straight Printed Kurta with Pant & Dupatta (Bulgeriya-GO),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61Kp-+0GrHL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Printed-Bulgeriya-Blue_XL-GO_Blue_X-Large/dp/B0B6FGHTGL/ref=sr_1_32?qid=1679154137&s=apparel&sr=1-32,3.7,"1,095",₹679,"₹2,599"
Shiv Textiles Women's Pure Georgette Saree With Blouse Piece,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/717H2HWQ1HL._AC_UL320_.jpg,https://www.amazon.in/Shiv-Textiles-Womens-Georgette-CRUSH-PURPLE_Purple/dp/B09VGX5GR5/ref=sr_1_33?qid=1679154137&s=apparel&sr=1-33,3.8,746,₹699,"₹1,499"
SGF11- Women's Kanjivaram Pure Zari Woven Soft Silk Saree With Blouse Piece,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/51UAY3yNabL._AC_UL320_.jpg,https://www.amazon.in/SGF11-Womens-Kanjivaram-Woven-Blouse/dp/B0B6FHTHQC/ref=sr_1_34?qid=1679154137&s=apparel&sr=1-34,4.2,514,"₹1,599","₹5,999"
Janasya Women's Green Poly Chiffon Self Design Flared Kurta,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61hHzoAOjzL._AC_UL320_.jpg,https://www.amazon.in/Janasya-Womens-Chiffon-Design-Flared/dp/B09SDY8DCT/ref=sr_1_35?qid=1679154137&s=apparel&sr=1-35,4.1,"1,124",₹659,"₹2,599"
Yashika Women's Full Elastic Cotton Blend Lycra Saree Shapewear Petticoat Free Size,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61DplwB9HPL._AC_UL320_.jpg,https://www.amazon.in/Yashika-ShapeWear-Petticoat-SHAPE-BLACK_Free/dp/B09NGWD9TB/ref=sr_1_36?qid=1679154137&s=apparel&sr=1-36,3.3,282,₹189,"₹1,199"
Vaamsi Women's Cotton Blend Printed Kurta Trousers and Dupatta Set (VKSKD1134_Grey),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61Lag09yeKL._AC_UL320_.jpg,https://www.amazon.in/Vaamsi-Printed-Trousers-Dupatta-VKSKD1134_XL_Grey/dp/B09B12TT6C/ref=sr_1_37?qid=1679154137&s=apparel&sr=1-37,3.6,336,₹679,"₹3,497"
GoSriKi Women's Cotton Blend Straight Printed Kurta with Pant & Dupatta (Made-GS),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61-EdwjifQL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Cotton-Dupatta-Made-GO_Green_Medium/dp/B0B2JXQ6DR/ref=sr_1_38?qid=1679154137&s=apparel&sr=1-38,3.8,380,₹679,"₹2,599"
Lyra Women's Slim Fit Pants (LYRA_KURTIPANT_10_FS_1PC_White_One Size_White),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/5190YIwgb-L._AC_UL320_.jpg,https://www.amazon.in/LUX-LYRA-Womens-Tapered-LYRA_KURTIPANT_10_FS_1PC_White_One/dp/B07HZCZJ3N/ref=sr_1_39?qid=1679154137&s=apparel&sr=1-39,3.9,"2,204",₹411,₹549
SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61PGFWgswDL._AC_UL320_.jpg,https://www.amazon.in/SGF11-Womens-Kanjivaram-Saree-Blouse/dp/B09SD315VM/ref=sr_1_40?qid=1679154137&s=apparel&sr=1-40,3.6,956,₹649,"₹5,999"
"ishin Women's Faux Georgette Saree With Blouse Piece (Ishinsp-Ss-128, Beige & Pink, Free Size)",women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81vs9El8VVL._AC_UL320_.jpg,https://www.amazon.in/ishin-Womens-Georgette-Blouse-Ishinsp-Ss-128/dp/B073Y63Z9S/ref=sr_1_41?qid=1679154137&s=apparel&sr=1-41,2.6,5,₹589.41,₹999
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Lochna-Nw31),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61IzrpxjBfL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Printed-Grey_Medium/dp/B0B9L4PJHR/ref=sr_1_42?qid=1679154137&s=apparel&sr=1-42,3.8,778,₹419,"₹2,599"
ANNI DESIGNER Women's Rayon Straight Printed Kurta with Pant & Dupatta (Bulgeriya),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61Zcczn8e0L._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Printed-Bulgeriya-Blue_L_Blue_Large/dp/B0B4NZJ2XG/ref=sr_1_43?qid=1679154137&s=apparel&sr=1-43,3.6,451,₹679,"₹2,599"
EthnicJunction Women's Georgette Chikankari Embroidery Anarkali Kurta,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81B5O-xyq4L._AC_UL320_.jpg,https://www.amazon.in/EthnicJunction-Georgette-Chikankari-Embroidered-B19-Apsara-Black_S_Black/dp/B0B3J43JQZ/ref=sr_1_44?qid=1679154137&s=apparel&sr=1-44,4.1,749,₹499,"₹2,796"
GoSriKi Women's Rayon Blend Straight Printed Kurta with Pant & Dupatta (KURSI-GS),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81qLW7D94OL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Printed-Dupatta-KURSI-Yellow_L-GS_Yellow_Large/dp/B0BFNBWGJW/ref=sr_1_45?qid=1679154137&s=apparel&sr=1-45,3.8,236,₹679,"₹2,599"
Vaamsi Women's Cotton Blend Printed Kurta Pant Dupatta Set (VKSKD1154_Pink),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81eKwo+NTtL._AC_UL320_.jpg,https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1154_XL_Pink/dp/B09BFFP192/ref=sr_1_46?qid=1679154137&s=apparel&sr=1-46,3.9,239,₹679,"₹3,497"
ANNI DESIGNER Women's Cotton Blend Traditional Straight Printed Kurta and Pant Set (Gapati MaroonNw-31),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/714F+U3BWcL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Gapati-Maroon_S_-Maroon_Small/dp/B0B9L7LD4X/ref=sr_1_47?qid=1679154137&s=apparel&sr=1-47,3.6,281,₹479,"₹2,599"
