name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Joyalukkas 22KT Yellow Gold Drop Earrings for Girls,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61O-bK7BW9L._AC_UL320_.jpg,https://www.amazon.in/Joyalukkas-22KT-Yellow-Earrings-Girls/dp/B07JBDCN31/ref=sr_1_14814?qid=1679159772&s=jewelry&sr=1-14814,,,"₹15,629","₹16,740"
Joyalukkas 22KT Yellow Gold Necklace for Girls,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51TCvdVuJ3L._AC_UL320_.jpg,https://www.amazon.in/Joyalukkas-22KT-Yellow-Necklace-Girls/dp/B07JBDCMYY/ref=sr_1_14815?qid=1679159772&s=jewelry&sr=1-14815,,,"₹53,098","₹56,815"
Sri Jagdamaba Pearls 22kt Yellow Gold Chain For Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51I-mCs9OtL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4W9H/ref=sr_1_14816?qid=1679159772&s=jewelry&sr=1-14816,,,"₹40,358","₹45,766"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51OoX9-9jIL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4W83/ref=sr_1_14817?qid=1679159772&s=jewelry&sr=1-14817,,,"₹1,11,782","₹1,21,944"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GnRo5vgiL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4LNM/ref=sr_1_14818?qid=1679159772&s=jewelry&sr=1-14818,,,"₹1,81,385","₹1,97,874"
Sri Jagdamaba Pearls 22kt Yellow Gold Chain For Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ww+mfs+mL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4KBN/ref=sr_1_14819?qid=1679159772&s=jewelry&sr=1-14819,,,"₹83,480","₹94,349"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51fT7LSbakL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4FKP/ref=sr_1_14820?qid=1679159772&s=jewelry&sr=1-14820,,,"₹29,645","₹40,000"
Sri Jagdamaba Pearls 22kt Yellow Gold Chain For Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Oitvm2E2L._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBD4BNN/ref=sr_1_14821?qid=1679159772&s=jewelry&sr=1-14821,,,"₹79,437","₹86,658"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51rGzEQUlEL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JBCR4PR/ref=sr_1_14822?qid=1679159772&s=jewelry&sr=1-14822,,,"₹1,47,290","₹1,60,680"
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KJOwR4YML._AC_UL320_.jpg,https://www.amazon.in/Swastik-Jewellers-Yellow-Mangalsutra-Women/dp/B07JBCCGGK/ref=sr_1_14823?qid=1679159772&s=jewelry&sr=1-14823,,,"₹1,18,620","₹1,31,800"
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/710E3s61C0L._AC_UL320_.jpg,https://www.amazon.in/Swastik-Jewellers-Yellow-Mangalsutra-Women/dp/B07JBCCGFL/ref=sr_1_14824?qid=1679159772&s=jewelry&sr=1-14824,,,"₹1,18,144","₹1,31,271"
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71-Q5CBJOIL._AC_UL320_.jpg,https://www.amazon.in/Swastik-Jewellers-Yellow-Mangalsutra-Women/dp/B07JBCC7J7/ref=sr_1_14825?qid=1679159772&s=jewelry&sr=1-14825,,,"₹59,071","₹65,636"
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women WT:-9.87gm,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71vM0XQrglL._AC_UL320_.jpg,https://www.amazon.in/Swastik-Jewellers-Yellow-Mangalsutra-Women/dp/B07JBC6Q5V/ref=sr_1_14826?qid=1679159772&s=jewelry&sr=1-14826,,,"₹96,497","₹1,07,219"
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZK89WLHTL._AC_UL320_.jpg,https://www.amazon.in/Swastik-Jewellers-Yellow-Mangalsutra-Women/dp/B07JBC6Q2J/ref=sr_1_14827?qid=1679159772&s=jewelry&sr=1-14827,,,"₹78,477","₹87,197"
Malabar Gold and Diamonds 18 KT Rose Gold and Solitaire Stud Earring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71zi6xpz7PL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Solitaire-Earring/dp/B07JBC1VX3/ref=sr_1_14828?qid=1679159772&s=jewelry&sr=1-14828,,,"₹72,819","₹83,699"
Malabar Gold and Diamonds 18 KT Yellow Gold and Diamond Stud Earring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71FImuSvz6L._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Diamond-Earring/dp/B07JBC1RF7/ref=sr_1_14829?qid=1679159772&s=jewelry&sr=1-14829,,,"₹38,399","₹44,199"
Malabar Gold and Diamonds 18 KT Yellow Gold and Solitaire Hoop Earring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61xbUuAAL-L._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Solitaire-Earring/dp/B07JBC1MJV/ref=sr_1_14830?qid=1679159772&s=jewelry&sr=1-14830,,,"₹48,669","₹55,999"
Malabar Gold and Diamonds 18 KT Rose Gold and Solitaire Hoop Earring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61GKDMg-KjL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Solitaire-Earring/dp/B07JBBTNNN/ref=sr_1_14831?qid=1679159772&s=jewelry&sr=1-14831,,,"₹72,179","₹82,999"
Malabar Gold and Diamonds 18 KT Yellow Gold and Solitaire Stud Earring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61lJQl+OQaL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Solitaire-Earring/dp/B07JBBTN5K/ref=sr_1_14832?qid=1679159772&s=jewelry&sr=1-14832,,,"₹70,179","₹80,699"
Malabar Gold and Diamonds 18KT Rose Gold and Solitaire Ring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QxvABHzDL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Solitaire-Women/dp/B07JBBM74M/ref=sr_1_14833?qid=1679159772&s=jewelry&sr=1-14833,,,"₹58,809","₹67,599"
Malabar Gold and Diamonds 18KT Rose Gold and Diamond Ring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYNXyRdfL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Diamond-Women/dp/B07JB7L73L/ref=sr_1_14834?qid=1679159772&s=jewelry&sr=1-14834,,,"₹64,989","₹74,699"
Malabar Gold and Diamonds 18KT Two Color Gold and Diamond Ring for Men,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61aqDTs7RYL._AC_UL320_.jpg,https://www.amazon.in/Malabar-Gold-Diamonds-Color-Diamond/dp/B07JB76Z5S/ref=sr_1_14835?qid=1679159772&s=jewelry&sr=1-14835,,,"₹59,009","₹67,899"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61YChbgy8yL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4W269/ref=sr_1_14836?qid=1679159772&s=jewelry&sr=1-14836,,,"₹1,49,056","₹1,62,606"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51sDM5JTL4L._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4W25Z/ref=sr_1_14837?qid=1679159772&s=jewelry&sr=1-14837,,,"₹1,19,020","₹1,29,840"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51u1kW1-LKL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4W25T/ref=sr_1_14838?qid=1679159772&s=jewelry&sr=1-14838,,,"₹1,07,608","₹1,17,390"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/517qg9YhahL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4W241/ref=sr_1_14839?qid=1679159772&s=jewelry&sr=1-14839,,,"₹85,333","₹93,090"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51mek-PdcxL._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4VYXF/ref=sr_1_14840?qid=1679159772&s=jewelry&sr=1-14840,,,"₹1,10,880","₹1,20,960"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/514HSWb0c3L._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4L25J/ref=sr_1_14837?qid=1679159774&s=jewelry&sr=1-14837,,,"₹1,68,383","₹1,83,690"
Sri Jagdamba Pearls 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/61eT1+y2-5L._AC_UL320_.jpg,https://www.amazon.in/Sri-jagdamaba-pearls-Yellow-Chain/dp/B07JB4L258/ref=sr_1_14838?qid=1679159774&s=jewelry&sr=1-14838,,,"₹1,24,135","₹1,35,420"
