name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Pepe Jeans Men's Relaxed Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/71JReS-QZBL._AC_UL320_.jpg,https://www.amazon.in/Pepe-Jeans-Relaxed-8903872559381_Hatch-2_30W-34L_Deep/dp/B01D8UJGX0/ref=sr_1_8380?qid=1679142027&s=apparel&sr=1-8380,3.9,11,"₹1,749","₹2,699"
Pepe Jeans Men's Relaxed Fit Stretchable Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/81yAW5rjYUL._AC_UL320_.jpg,https://www.amazon.in/Pepe-Jeans-Relaxed-8903872559145_Hatch-2_30W-34L_Dk-Worn/dp/B01D8UJ7PM/ref=sr_1_8381?qid=1679142027&s=apparel&sr=1-8381,3.7,6,"₹1,749","₹2,699"
Being Human Men's Skinny Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/617U-JLTa4S._AC_UL320_.jpg,https://www.amazon.in/Being-Human-Skinny-8903861288971_BHDI6089_32W-32L_Blue/dp/B01AT4MELE/ref=sr_1_8382?qid=1679142027&s=apparel&sr=1-8382,1.0,1,,"₹1,999"
BUFFALO Men's Basics Slim Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/61fRrcZAdaL._AC_UL320_.jpg,https://www.amazon.in/Buffalo-Basics-Jeans-8907403662960_Basics-Black_28W/dp/B01AFXPGGO/ref=sr_1_8383?qid=1679142027&s=apparel&sr=1-8383,4.1,13,,"₹1,399"
U.S. Polo Denim Co. Men's Slim Straight Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/81k3R-qhx9L._AC_UL320_.jpg,https://www.amazon.in/U-S-Polo-Assn-Mens-straight-Jeans-8907259137292_USJN0873_Blue_34/dp/B013EM0IU2/ref=sr_1_8384?qid=1679142027&s=apparel&sr=1-8384,3.6,5,"₹1,762","₹2,599"
U.S. Polo Denim Co. Men's Skinny Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/71rJhds-r+L._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Assn-Skinny-8907259135168_USJN0849_Black_34/dp/B013EKZ4CG/ref=sr_1_8385?qid=1679142027&s=apparel&sr=1-8385,4.1,3,"₹2,312","₹3,199"
U.S.Polo.Assn. Men's Slim Straight Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/91dEsVrMABL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Assn-Straight-8903663142501_USJN0175_34_Washed/dp/B013EJXHJE/ref=sr_1_8386?qid=1679142027&s=apparel&sr=1-8386,3.3,6,"₹1,403","₹1,899"
"Lee Men's Regular Fit Straight Leg Jean, Wylie, 32W x 34L",men's clothing,Jeans,https://m.media-amazon.com/images/I/91sCEvKeWjL._AC_UL320_.jpg,https://www.amazon.in/Lee-Mens-Regular-Straight-Wylie/dp/B00V6PS74Y/ref=sr_1_8387?qid=1679142027&s=apparel&sr=1-8387,4.7,9,,"₹8,514"
U.S. Polo Denim Co. Men's Relaxed Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/91l0sRU9WIL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Relaxed-8907163600639_USJN0755_30W-34L_Mid/dp/B00T94EWF2/ref=sr_1_8388?qid=1679142027&s=apparel&sr=1-8388,2.3,2,"₹1,399","₹2,799"
U.S. POLO ASSN. Men's Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/81jkZUwOTML._AC_UL320_.jpg,https://www.amazon.in/Polo-Assn-Jeans-8903952887441_USJC0114_36_Washed-Denim/dp/B00RJV35TG/ref=sr_1_8389?qid=1679142027&s=apparel&sr=1-8389,3.0,15,"₹1,668","₹2,199"
Jack & Jones Men's Tim Slim fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/81rf2H2U99L._AC_UL320_.jpg,https://www.amazon.in/Jack-Jones-Jeans-Black-5712068053182/dp/B00PJZQ8Z2/ref=sr_1_8390?qid=1679142027&s=apparel&sr=1-8390,,,"₹5,849","₹12,995"
Lee Men's Regular Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/71TuC4LyIjS._AC_UL320_.jpg,https://www.amazon.in/Lee-Premium-Select-Classic-Straight/dp/B00BCG2L2G/ref=sr_1_8391?qid=1679142027&s=apparel&sr=1-8391,4.5,108,,
HIGH STAR Men's Stretchable Slim Fit Clean Look Dark Wash Cotton Blend Jeans 37,men's clothing,Jeans,https://m.media-amazon.com/images/I/516t649IwUL._AC_UL320_.jpg,https://www.amazon.in/HIGH-STAR-Mens-Jeans-MBDFKXL436_42_Black2/dp/B09YNN1KLD/ref=sr_1_8392?qid=1679142027&s=apparel&sr=1-8392,,,₹775.50,"₹1,479"
ELECTROPRIME Men Zipper Fly Five Pockets Pleat Knees PU Leather Panel Skinny Pants,men's clothing,Jeans,https://m.media-amazon.com/images/I/61-i-JmJjzL._AC_UL320_.jpg,https://www.amazon.in/ELECTROPRIME-Zipper-Pockets-Leather-Skinny/dp/B07L7PV9G5/ref=sr_1_8393?qid=1679142027&s=apparel&sr=1-8393,₹100,Usually dispatched in 4 to 5 weeks.,"₹2,126","₹2,573"
Superfit Rider Edition Men's Slim Fit Strechable Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/81i0ZrrSlaL._AC_UL320_.jpg,https://www.amazon.in/Superfit-Rider-Strechable-Jeans-7948-36/dp/B0BRXSWRCT/ref=sr_1_8394?qid=1679142027&s=apparel&sr=1-8394,,,"₹1,899","₹3,999"
Spykar Men's Kano Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/61mqF4L9vrL._AC_UL320_.jpg,https://www.amazon.in/Spykar-Mens-Kano-Jeans-KN-02BB-16-DK-Blue/dp/B0BR9QS7S5/ref=sr_1_8395?qid=1679142027&s=apparel&sr=1-8395,,,"₹2,219","₹3,699"
Spykar Men's Kano Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/61O6AUhCdNL._AC_UL320_.jpg,https://www.amazon.in/Spykar-Mens-Kano-Jeans-KN-02BB-15-DK-Blue/dp/B0BR9QK4R8/ref=sr_1_8396?qid=1679142027&s=apparel&sr=1-8396,,,"₹2,399","₹3,999"
